"","x","y","z","cluster_1___.pro..cambium","cluster_0___epidermis","cluster_2___cortex","cluster_3___dividing.cells","cluster_5___S.phase.cells","cluster_11___epidermis.dividing","cluster_8___xylem.parenchyma","cluster_6___dividing.cells","cluster_10___epidermis.dividing","cluster_4___floral.meristem","cluster_9___epidermis","cluster_7___mesophyll","cluster_12___phloem"
"787","47.0896","62.7408","38.3793",0.0977578080435078,0.218253369092649,0.128512013828745,0.110088201628734,0.0881800358148892,0.037962735781361,0.0236798606352656,0.0395918977277513,0.0616943483017783,0.113407982435399,0.0321209370032504,0.0391460683793459,0.00960181688291158
"788","69.7133","74.3844","38.1657",0.0967782208609241,0.221056219954591,0.127378231768741,0.10987678562598,0.0882494245606902,0.03797734732604,0.0232206980358306,0.0396492679867924,0.0627113229141798,0.112196648411755,0.0327119668354568,0.0385404428065579,0.00966439085037528
"789","68.2205","64.932","37.6581",0.0983369311594299,0.215221257123436,0.129660828373734,0.111099773536885,0.0892488459816555,0.0373625984476167,0.0236306385943399,0.0391845428786283,0.0618968142190674,0.114672343114897,0.0310974808602738,0.038915699673317,0.00968169058291405
"790","16.6534","40.6775","39.6486",0.0935745208069153,0.225687185894519,0.127261818920196,0.110096378493892,0.0887430768976117,0.0373665745994573,0.0218630552474845,0.0396159260830757,0.0624905746754834,0.107136235409412,0.0351862815997742,0.0417243271598185,0.00924783649197094
"791","18.6177","36.6656","38.546",0.093438760323336,0.226269994322464,0.126949530956239,0.110009889562957,0.0886206739620368,0.0374292196299131,0.0218018096488719,0.0397662712407458,0.0625476510203656,0.10680738965231,0.0354300574768673,0.0417187761988846,0.00921049506584424
"792","30.2319","55.8824","37.0006",0.0957385955664246,0.225703062524699,0.127825350429635,0.108328909133101,0.0866358291588778,0.0386362864242323,0.0227467487611992,0.0395893165064944,0.0623706834708187,0.109454627518046,0.0348375534595615,0.0385244677341625,0.00960709074782053
"793","39.4973","72.4532","38.2456",0.0959330575738886,0.225129791809731,0.124962147151471,0.109336089390174,0.0874385810777638,0.0385658595575808,0.0227228634972927,0.0407512154713462,0.0630307998915687,0.109708879050646,0.0344970395656911,0.0385217562355507,0.009399558746295
"794","54.6474","42.8995","39.6262",0.0995280729012629,0.21518014172794,0.129906987929989,0.11077911108138,0.089842509888043,0.036790126562848,0.0240164953346046,0.0388319101203217,0.0614802814474734,0.113221617387527,0.0315060568648899,0.0391047300186971,0.00980412865770527
"795","60.238","31.2875","38.5447",0.101142632982039,0.213690948007645,0.130712003126197,0.111439206152514,0.0905451866884764,0.0363657657983214,0.0236225982729159,0.038183611520609,0.061343044162325,0.112005119747618,0.0325563623017543,0.0387082459318723,0.00969099319503597
"796","73.7631","66.3702","37.3808",0.100164496875353,0.215138754508981,0.12830967896189,0.110942907661041,0.0905932906133165,0.036891253716157,0.0240418439359823,0.0391140697665484,0.061666594317735,0.113064506348786,0.0316657253219633,0.0387136207786069,0.00969635471546037
